serialAuto;nombreAuto;modeloAuto;precioPorDiaAuto;nombreCliente;apellidoCliente;direccionCliente;cedulaCliente
Serial-prueba-carga-1;Nombre prueba carga 1;2021;100000;Andres 1;Montoya 1;Direccion 1;1000000000
Serial-prueba-carga-2;Nombre prueba carga 2;2020;101000;Andres 2;Montoya 2;Direccion 2;1000000001
Serial-prueba-carga-3;Nombre prueba carga 3;2019;102000;Andres 3;Montoya 3;Direccion 3;1000000002
Serial-prueba-carga-4;Nombre prueba carga 4;2018;103000;Andres 4;Montoya 4;Direccion 4;1000000003
Serial-prueba-carga-5;Nombre prueba carga 5;2017;104000;Andres 5;Montoya 5;Direccion 5;1000000004
Serial-prueba-carga-6;Nombre prueba carga 6;2016;105000;Andres 6;Montoya 6;Direccion 6;1000000005
Serial-prueba-carga-7;Nombre prueba carga 7;2015;106000;Andres 7;Montoya 7;Direccion 7;1000000006
Serial-prueba-carga-8;Nombre prueba carga 8;2014;107000;Andres 8;Montoya 8;Direccion 8;1000000007
Serial-prueba-carga-9;Nombre prueba carga 9;2013;108000;Andres 9;Montoya 9;Direccion 9;1000000008
Serial-prueba-carga-10;Nombre prueba carga 10;2012;109000;Andres 10;Montoya 10;Direccion 10;1000000009
Serial-prueba-carga-11;Nombre prueba carga 11;2011;110000;Andres 11;Montoya 11;Direccion 11;1000000010
Serial-prueba-carga-12;Nombre prueba carga 12;2010;111000;Andres 12;Montoya 12;Direccion 12;1000000011
Serial-prueba-carga-13;Nombre prueba carga 13;2009;112000;Andres 13;Montoya 13;Direccion 13;1000000012
Serial-prueba-carga-14;Nombre prueba carga 14;2008;113000;Andres 14;Montoya 14;Direccion 14;1000000013
Serial-prueba-carga-15;Nombre prueba carga 15;2007;114000;Andres 15;Montoya 15;Direccion 15;1000000014
Serial-prueba-carga-16;Nombre prueba carga 16;2006;115000;Andres 16;Montoya 16;Direccion 16;1000000015
Serial-prueba-carga-17;Nombre prueba carga 17;2005;116000;Andres 17;Montoya 17;Direccion 17;1000000016
Serial-prueba-carga-18;Nombre prueba carga 18;2004;117000;Andres 18;Montoya 18;Direccion 18;1000000017
Serial-prueba-carga-19;Nombre prueba carga 19;2003;118000;Andres 19;Montoya 19;Direccion 19;1000000018
Serial-prueba-carga-20;Nombre prueba carga 20;2002;119000;Andres 20;Montoya 20;Direccion 20;1000000019
Serial-prueba-carga-21;Nombre prueba carga 21;2001;120000;Andres 21;Montoya 21;Direccion 21;1000000020
Serial-prueba-carga-22;Nombre prueba carga 22;2000;121000;Andres 22;Montoya 22;Direccion 22;1000000021
Serial-prueba-carga-23;Nombre prueba carga 23;1999;122000;Andres 23;Montoya 23;Direccion 23;1000000022
Serial-prueba-carga-24;Nombre prueba carga 24;1998;123000;Andres 24;Montoya 24;Direccion 24;1000000023
Serial-prueba-carga-25;Nombre prueba carga 25;1997;124000;Andres 25;Montoya 25;Direccion 25;1000000024
Serial-prueba-carga-26;Nombre prueba carga 26;1996;125000;Andres 26;Montoya 26;Direccion 26;1000000025
Serial-prueba-carga-27;Nombre prueba carga 27;1995;126000;Andres 27;Montoya 27;Direccion 27;1000000026
Serial-prueba-carga-28;Nombre prueba carga 28;1994;127000;Andres 28;Montoya 28;Direccion 28;1000000027
Serial-prueba-carga-29;Nombre prueba carga 29;1993;128000;Andres 29;Montoya 29;Direccion 29;1000000028
Serial-prueba-carga-30;Nombre prueba carga 30;1992;129000;Andres 30;Montoya 30;Direccion 30;1000000029
Serial-prueba-carga-31;Nombre prueba carga 31;1991;130000;Andres 31;Montoya 31;Direccion 31;1000000030
Serial-prueba-carga-32;Nombre prueba carga 32;1990;131000;Andres 32;Montoya 32;Direccion 32;1000000031
Serial-prueba-carga-33;Nombre prueba carga 33;1989;132000;Andres 33;Montoya 33;Direccion 33;1000000032
Serial-prueba-carga-34;Nombre prueba carga 34;1988;133000;Andres 34;Montoya 34;Direccion 34;1000000033
Serial-prueba-carga-35;Nombre prueba carga 35;1987;134000;Andres 35;Montoya 35;Direccion 35;1000000034
Serial-prueba-carga-36;Nombre prueba carga 36;1986;135000;Andres 36;Montoya 36;Direccion 36;1000000035
Serial-prueba-carga-37;Nombre prueba carga 37;1985;136000;Andres 37;Montoya 37;Direccion 37;1000000036
Serial-prueba-carga-38;Nombre prueba carga 38;1984;137000;Andres 38;Montoya 38;Direccion 38;1000000037
Serial-prueba-carga-39;Nombre prueba carga 39;1983;138000;Andres 39;Montoya 39;Direccion 39;1000000038
Serial-prueba-carga-40;Nombre prueba carga 40;1982;139000;Andres 40;Montoya 40;Direccion 40;1000000039
Serial-prueba-carga-41;Nombre prueba carga 41;1981;140000;Andres 41;Montoya 41;Direccion 41;1000000040
Serial-prueba-carga-42;Nombre prueba carga 42;1980;141000;Andres 42;Montoya 42;Direccion 42;1000000041
Serial-prueba-carga-43;Nombre prueba carga 43;1979;142000;Andres 43;Montoya 43;Direccion 43;1000000042
Serial-prueba-carga-44;Nombre prueba carga 44;1978;143000;Andres 44;Montoya 44;Direccion 44;1000000043
Serial-prueba-carga-45;Nombre prueba carga 45;1977;144000;Andres 45;Montoya 45;Direccion 45;1000000044
Serial-prueba-carga-46;Nombre prueba carga 46;1976;145000;Andres 46;Montoya 46;Direccion 46;1000000045
Serial-prueba-carga-47;Nombre prueba carga 47;1975;146000;Andres 47;Montoya 47;Direccion 47;1000000046
Serial-prueba-carga-48;Nombre prueba carga 48;1974;147000;Andres 48;Montoya 48;Direccion 48;1000000047
Serial-prueba-carga-49;Nombre prueba carga 49;1973;148000;Andres 49;Montoya 49;Direccion 49;1000000048
Serial-prueba-carga-50;Nombre prueba carga 50;1972;149000;Andres 50;Montoya 50;Direccion 50;1000000049
Serial-prueba-carga-51;Nombre prueba carga 51;1971;150000;Andres 51;Montoya 51;Direccion 51;1000000050
Serial-prueba-carga-52;Nombre prueba carga 52;1970;151000;Andres 52;Montoya 52;Direccion 52;1000000051
Serial-prueba-carga-53;Nombre prueba carga 53;1969;152000;Andres 53;Montoya 53;Direccion 53;1000000052
Serial-prueba-carga-54;Nombre prueba carga 54;1968;153000;Andres 54;Montoya 54;Direccion 54;1000000053
Serial-prueba-carga-55;Nombre prueba carga 55;1967;154000;Andres 55;Montoya 55;Direccion 55;1000000054
Serial-prueba-carga-56;Nombre prueba carga 56;1966;155000;Andres 56;Montoya 56;Direccion 56;1000000055
Serial-prueba-carga-57;Nombre prueba carga 57;1965;156000;Andres 57;Montoya 57;Direccion 57;1000000056
Serial-prueba-carga-58;Nombre prueba carga 58;1964;157000;Andres 58;Montoya 58;Direccion 58;1000000057
Serial-prueba-carga-59;Nombre prueba carga 59;1963;158000;Andres 59;Montoya 59;Direccion 59;1000000058
Serial-prueba-carga-60;Nombre prueba carga 60;1962;159000;Andres 60;Montoya 60;Direccion 60;1000000059
Serial-prueba-carga-61;Nombre prueba carga 61;1961;160000;Andres 61;Montoya 61;Direccion 61;1000000060
